product_id,product_name,category,sub_category,brand,price,cost_price,launch_date,is_active
P-50,Product_50,Fashion,Women,Brand_24,3026.59,1941.82,2022-01-17,Y
P-51,Product_51,Grocery,Food,Brand_62,37945.52,28837.46,2022-06-09,N
P-52,Product_52,Grocery,Beverages,Brand_22,49410.4,26262.99,2024-02-22,N
P-53,Product_53,Electronics,Accessories,Brand_53,42621.82,27038.18,2023-11-23,N
P-54,Product_54,Home,Decor,Brand_3,9164.13,5533.99,2024-04-12,N
P-55,Product_55,Grocery,Beverages,Brand_99,19742.44,13032.95,2023-10-01,N
P-56,Product_56,Grocery,Beverages,Brand_23,2788.48,1981.59,2024-10-28,N
P-57,Product_57,Home,Furniture,Brand_4,2983.81,2347.38,2022-04-05,N
P-58,Product_58,Electronics,Accessories,Brand_70,47259.58,24334.71,2023-05-08,Y
P-59,Product_59,Grocery,Food,Brand_22,42036.75,28229.06,2022-04-08,Y
P-60,Product_60,Grocery,Beverages,Brand_1,27061.04,13556.51,2024-06-03,Y
P-61,Product_61,Home,Furniture,Brand_68,12784.65,7980.16,2023-05-30,N
P-62,Product_62,Fashion,Kids,Brand_24,6990.42,4403.58,2024-03-02,Y
P-63,Product_63,Electronics,Laptop,Brand_66,33190.71,21591.16,2024-08-08,Y
P-64,Product_64,Home,Furniture,Brand_49,35253.27,18110.92,2024-10-28,N
P-65,Product_65,Grocery,Beverages,Brand_82,38039.86,26588.2,2024-08-12,N
P-66,Product_66,Grocery,Food,Brand_68,20647.64,16222.68,2022-09-25,N
P-67,Product_67,Fashion,Men,Brand_9,4312.23,2703.79,2022-04-03,N
P-68,Product_68,Electronics,Laptop,Brand_64,19470.76,11420.04,2024-11-25,Y
P-69,Product_69,Fashion,Men,Brand_65,36081.27,24385.91,2023-08-15,N
P-70,Product_70,Electronics,Accessories,Brand_76,21969.5,11403.86,2024-04-22,N
P-71,Product_71,Home,Furniture,Brand_47,24180.56,16071.7,2023-04-09,N
P-72,Product_72,Fashion,Women,Brand_58,18687.51,11229.35,2023-08-25,N
P-73,Product_73,Electronics,Mobile,Brand_25,9050.32,5125.45,2023-03-02,Y
P-74,Product_74,Home,Furniture,Brand_41,48455.84,26589.87,2022-06-28,Y
P-75,Product_75,Home,Decor,Brand_21,26328.89,15353.46,2022-12-27,N
P-76,Product_76,Electronics,Laptop,Brand_16,49098.85,33147.54,2022-04-13,N
P-77,Product_77,Fashion,Women,Brand_100,25625.24,14384.49,2023-10-05,N
P-78,Product_78,Home,Furniture,Brand_84,20381.84,10881.56,2024-12-08,N
P-79,Product_79,Home,Furniture,Brand_86,44642.82,29254.62,2022-12-07,N
P-80,Product_80,Fashion,Kids,Brand_89,23444.97,16008.88,2024-07-06,N
P-81,Product_81,Electronics,Laptop,Brand_73,35652.84,18583.2,2024-06-02,N
P-82,Product_82,Home,Decor,Brand_27,27570.07,14488.9,2023-06-14,Y
P-83,Product_83,Fashion,Kids,Brand_92,31472.7,19059.33,2023-03-17,Y
P-84,Product_84,Home,Decor,Brand_70,30734.99,17030.02,2023-12-07,N
P-85,Product_85,Home,Furniture,Brand_68,939.02,500.63,2022-11-01,Y
P-86,Product_86,Grocery,Beverages,Brand_82,19139.62,12130.04,2022-10-13,N
P-87,Product_87,Grocery,Beverages,Brand_44,47967.05,24875.44,2024-09-07,Y
P-88,Product_88,Fashion,Women,Brand_21,32891.24,18256.34,2022-04-10,N
P-89,Product_89,Electronics,Laptop,Brand_60,47485.78,37946.53,2023-10-31,N
P-90,Product_90,Grocery,Food,Brand_26,48022.68,30220.48,2022-07-22,Y
P-91,Product_91,Fashion,Kids,Brand_63,19113.51,13049.15,2022-08-28,N
P-92,Product_92,Electronics,Laptop,Brand_83,18055.9,11020.23,2022-06-24,Y
P-93,Product_93,Fashion,Women,Brand_84,18361.9,10451.03,2023-01-19,Y
P-94,Product_94,Fashion,Men,Brand_59,48789.93,26865.18,2023-07-10,N
P-95,Product_95,Grocery,Food,Brand_48,1053.0,625.53,2022-03-19,Y
P-96,Product_96,Grocery,Beverages,Brand_84,43957.29,31632.28,2023-07-23,N
P-97,Product_97,Home,Decor,Brand_36,11514.85,8911.88,2023-03-23,N
P-98,Product_98,Fashion,Women,Brand_22,38558.27,23053.63,2022-10-20,N
P-99,Product_99,Home,Furniture,Brand_10,2735.56,1754.12,2024-01-14,N
P-100,Product_100,Grocery,Food,Brand_10,9469.48,5917.49,2023-01-10,Y
P-101,Product_101,Fashion,Men,Brand_38,17949.25,10913.6,2023-09-09,Y
P-102,Product_102,Electronics,Laptop,Brand_57,40600.27,22905.84,2024-02-17,N
P-103,Product_103,Home,Furniture,Brand_58,2637.61,1701.1,2024-11-12,Y
P-104,Product_104,Grocery,Food,Brand_67,35420.75,24820.32,2024-12-04,N
P-105,Product_105,Electronics,Mobile,Brand_35,32876.5,20630.44,2024-01-03,N
P-106,Product_106,Fashion,Men,Brand_54,25716.37,13297.5,2024-05-08,Y
P-107,Product_107,Electronics,Laptop,Brand_61,43053.29,25461.85,2024-03-23,N
P-108,Product_108,Grocery,Food,Brand_22,3188.07,2242.78,2024-01-11,Y
P-109,Product_109,Grocery,Food,Brand_52,5630.0,3929.11,2024-09-02,Y
P-110,Product_110,Electronics,Mobile,Brand_98,1148.44,777.93,2022-11-08,Y
P-111,Product_111,Home,Decor,Brand_24,27284.57,14922.09,2023-09-08,N
P-112,Product_112,Home,Decor,Brand_19,14844.52,9535.36,2023-07-04,N
P-113,Product_113,Electronics,Laptop,Brand_22,1087.63,688.28,2022-10-05,N
P-114,Product_114,Home,Furniture,Brand_99,12862.22,9811.55,2023-11-25,Y
P-115,Product_115,Electronics,Accessories,Brand_18,40368.04,27270.13,2024-12-13,N
P-116,Product_116,Grocery,Beverages,Brand_41,24295.07,19224.78,2022-03-09,Y
P-117,Product_117,Fashion,Kids,Brand_90,43122.65,32966.04,2024-02-20,N
P-118,Product_118,Electronics,Mobile,Brand_59,18669.5,9373.4,2023-03-09,Y
P-119,Product_119,Electronics,Accessories,Brand_30,31124.35,24727.44,2024-12-12,N
P-120,Product_120,Fashion,Men,Brand_52,32254.73,19215.76,2024-02-05,Y
P-121,Product_121,Electronics,Laptop,Brand_22,22734.75,12256.97,2024-07-10,N
P-122,Product_122,Grocery,Food,Brand_70,35809.88,18225.95,2023-09-15,Y
P-123,Product_123,Electronics,Laptop,Brand_12,33039.22,18089.91,2024-02-29,Y
P-124,Product_124,Fashion,Kids,Brand_1,8438.14,4716.51,2022-08-28,N
P-125,Product_125,Electronics,Accessories,Brand_40,29046.64,14935.87,2022-10-28,Y
P-126,Product_126,Home,Furniture,Brand_7,24597.92,13980.93,2022-12-06,N
P-127,Product_127,Grocery,Beverages,Brand_33,49706.3,26200.95,2023-03-14,N
P-128,Product_128,Electronics,Mobile,Brand_70,23508.96,15046.12,2023-12-01,Y
P-129,Product_129,Electronics,Accessories,Brand_87,15675.37,11578.56,2023-05-24,N
P-130,Product_130,Home,Furniture,Brand_78,3636.81,2025.73,2023-10-08,N
P-131,Product_131,Home,Decor,Brand_30,3162.34,2474.16,2023-10-05,N
P-132,Product_132,Home,Decor,Brand_3,31983.51,19819.63,2022-12-24,Y
P-133,Product_133,Electronics,Mobile,Brand_20,37187.31,25889.61,2024-03-22,N
P-134,Product_134,Grocery,Beverages,Brand_54,13214.36,6992.68,2024-01-29,Y
P-135,Product_135,Fashion,Men,Brand_62,25424.79,16141.46,2022-07-14,Y
P-136,Product_136,Home,Furniture,Brand_86,587.5,459.19,2024-01-16,Y
P-137,Product_137,Fashion,Kids,Brand_59,7822.43,5084.91,2024-03-23,Y
P-138,Product_138,Grocery,Beverages,Brand_97,46991.03,36807.46,2024-11-09,Y
P-139,Product_139,Grocery,Beverages,Brand_15,37759.35,21342.18,2022-12-18,N
P-140,Product_140,Fashion,Kids,Brand_66,6545.08,4812.54,2024-06-06,N
P-141,Product_141,Home,Decor,Brand_99,28531.35,18336.77,2024-05-07,Y
P-142,Product_142,Grocery,Beverages,Brand_27,46248.97,24630.65,2022-12-01,Y
P-143,Product_143,Fashion,Kids,Brand_18,33261.08,22893.87,2024-08-26,Y
P-144,Product_144,Home,Decor,Brand_73,22029.24,16430.86,2022-12-13,Y
P-145,Product_145,Fashion,Men,Brand_51,30348.49,17641.28,2024-04-25,Y
P-146,Product_146,Fashion,Kids,Brand_68,16836.29,9923.84,2024-12-18,N
P-147,Product_147,Grocery,Beverages,Brand_78,14756.8,11577.59,2023-03-26,N
P-148,Product_148,Grocery,Food,Brand_63,21664.96,11556.79,2023-06-19,N
P-149,Product_149,Fashion,Men,Brand_15,6228.94,4098.91,2023-08-12,Y
P-150,Product_150,Fashion,Men,Brand_22,10615.56,5558.28,2022-09-12,Y
P-151,Product_151,Fashion,Women,Brand_54,6763.53,5377.51,2022-12-16,Y
P-152,Product_152,Grocery,Food,Brand_23,1296.29,901.65,2024-05-12,N
P-153,Product_153,Fashion,Men,Brand_43,49829.45,37523.25,2024-06-18,Y
P-154,Product_154,Home,Decor,Brand_54,37507.28,22739.03,2022-10-19,N
P-155,Product_155,Home,Furniture,Brand_60,19158.45,11390.26,2022-07-22,N
P-156,Product_156,Grocery,Beverages,Brand_79,32325.3,20741.99,2022-07-09,N
P-157,Product_157,Grocery,Food,Brand_54,7073.63,4503.14,2024-06-20,N
P-158,Product_158,Home,Furniture,Brand_81,4603.29,2581.75,2022-07-02,Y
P-159,Product_159,Home,Furniture,Brand_22,13111.31,10426.88,2023-12-17,Y
P-160,Product_160,Grocery,Food,Brand_40,28961.38,18823.2,2024-12-08,N
P-161,Product_161,Grocery,Food,Brand_84,18373.65,11811.27,2022-09-04,Y
P-162,Product_162,Fashion,Kids,Brand_68,20055.28,11507.97,2022-05-24,N
P-163,Product_163,Home,Decor,Brand_71,19339.06,14187.12,2022-01-16,Y
P-164,Product_164,Electronics,Laptop,Brand_79,28194.19,20149.87,2022-01-17,Y
P-165,Product_165,Home,Furniture,Brand_44,9606.19,5768.95,2023-06-22,N
P-166,Product_166,Home,Furniture,Brand_23,31187.34,20846.59,2024-11-28,N
P-167,Product_167,Electronics,Accessories,Brand_29,40519.03,25591.61,2023-04-27,N
P-168,Product_168,Fashion,Women,Brand_67,9691.22,5510.75,2023-01-12,Y
P-169,Product_169,Fashion,Men,Brand_67,47017.97,32001.46,2022-03-28,Y
P-170,Product_170,Grocery,Food,Brand_22,21933.63,12490.83,2024-03-17,Y
P-171,Product_171,Home,Furniture,Brand_31,32668.67,22539.57,2024-05-26,Y
P-172,Product_172,Fashion,Kids,Brand_30,33913.87,19404.09,2024-03-02,Y
P-173,Product_173,Fashion,Men,Brand_6,21454.52,10858.16,2024-08-18,Y
P-174,Product_174,Home,Decor,Brand_27,48661.14,25937.33,2022-04-17,Y
P-175,Product_175,Fashion,Kids,Brand_29,29530.14,20540.52,2022-12-11,Y
P-176,Product_176,Grocery,Beverages,Brand_3,47806.22,37046.49,2024-05-18,N
P-177,Product_177,Fashion,Women,Brand_66,28043.73,19110.97,2024-12-05,Y
P-178,Product_178,Home,Furniture,Brand_56,38862.79,23214.34,2024-08-29,Y
P-179,Product_179,Grocery,Beverages,Brand_53,26525.04,15430.38,2022-09-28,Y
P-180,Product_180,Fashion,Kids,Brand_89,5393.59,2828.33,2024-07-26,N
P-181,Product_181,Grocery,Food,Brand_30,1614.81,990.78,2022-05-26,Y
P-182,Product_182,Fashion,Kids,Brand_94,42712.58,25605.19,2023-09-13,Y
P-183,Product_183,Electronics,Mobile,Brand_43,44452.49,28088.23,2022-04-09,N
P-184,Product_184,Electronics,Accessories,Brand_90,15531.15,8252.41,2023-11-14,N
P-185,Product_185,Grocery,Food,Brand_29,39473.64,31521.04,2022-03-06,N
P-186,Product_186,Fashion,Men,Brand_55,47488.49,29660.32,2022-04-05,Y
P-187,Product_187,Electronics,Laptop,Brand_11,47434.8,33970.87,2024-03-29,N
P-188,Product_188,Grocery,Food,Brand_23,47442.13,33393.26,2024-10-16,Y
P-189,Product_189,Electronics,Laptop,Brand_44,37155.89,26060.38,2024-07-21,Y
P-190,Product_190,Grocery,Food,Brand_22,20668.45,13615.57,2023-08-11,Y
P-191,Product_191,Fashion,Men,Brand_82,38432.79,26492.09,2022-10-09,Y
P-192,Product_192,Grocery,Food,Brand_62,29859.71,19219.07,2023-12-10,Y
P-193,Product_193,Home,Furniture,Brand_88,162.75,115.4,2023-12-14,N
P-194,Product_194,Home,Decor,Brand_3,49053.59,28708.9,2024-04-24,N
P-195,Product_195,Grocery,Beverages,Brand_54,14515.97,10506.08,2022-04-16,Y
P-196,Product_196,Fashion,Men,Brand_9,37514.54,29025.17,2023-01-25,Y
P-197,Product_197,Grocery,Food,Brand_60,39575.56,24022.0,2024-06-03,Y
P-198,Product_198,Home,Furniture,Brand_13,21379.57,15108.57,2024-07-11,N
P-199,Product_199,Electronics,Mobile,Brand_98,24177.19,18374.4,2024-08-09,Y
P-200,Product_200,Fashion,Kids,Brand_14,15334.29,8983.29,2022-11-21,Y
P-201,Product_201,Home,Furniture,Brand_93,16550.23,12469.39,2022-08-20,N
P-202,Product_202,Grocery,Food,Brand_12,12514.34,8781.46,2023-02-16,Y
P-203,Product_203,Grocery,Beverages,Brand_24,15024.1,10233.32,2022-05-01,N
P-204,Product_204,Home,Furniture,Brand_73,36023.34,22145.41,2022-02-09,Y
P-205,Product_205,Grocery,Beverages,Brand_94,30098.15,19647.37,2024-11-06,N
P-206,Product_206,Grocery,Beverages,Brand_69,17404.45,9355.74,2023-06-16,N
P-207,Product_207,Grocery,Beverages,Brand_54,44382.53,27676.16,2022-11-13,Y
P-208,Product_208,Home,Furniture,Brand_94,2286.45,1595.89,2024-08-03,Y
P-209,Product_209,Fashion,Women,Brand_75,19619.62,13443.92,2024-09-29,N
P-210,Product_210,Electronics,Accessories,Brand_43,8121.95,5416.87,2022-01-16,N
P-211,Product_211,Electronics,Laptop,Brand_12,145.35,86.27,2024-12-06,N
P-212,Product_212,Home,Decor,Brand_51,22339.34,11708.48,2023-08-03,Y
P-213,Product_213,Grocery,Beverages,Brand_35,3719.2,2557.87,2023-04-18,Y
P-214,Product_214,Electronics,Laptop,Brand_71,38299.77,23903.34,2022-10-26,N
P-215,Product_215,Fashion,Kids,Brand_31,5001.34,2600.37,2023-09-24,N
P-216,Product_216,Grocery,Food,Brand_33,16894.14,10620.6,2024-12-21,Y
P-217,Product_217,Electronics,Mobile,Brand_94,24154.11,18349.41,2023-07-13,Y
P-218,Product_218,Electronics,Accessories,Brand_72,12205.9,6755.17,2022-05-28,Y
P-219,Product_219,Home,Decor,Brand_1,47507.34,25357.7,2023-04-06,Y
P-220,Product_220,Fashion,Kids,Brand_12,33327.32,21995.53,2024-04-01,Y
P-221,Product_221,Fashion,Women,Brand_75,49553.18,35941.86,2023-08-05,Y
P-222,Product_222,Fashion,Kids,Brand_66,10532.8,6352.89,2024-05-26,N
P-223,Product_223,Home,Furniture,Brand_5,40733.13,24868.22,2023-09-12,Y
P-224,Product_224,Grocery,Beverages,Brand_43,34656.96,26676.15,2024-01-10,Y
P-225,Product_225,Grocery,Beverages,Brand_77,12900.53,8376.21,2023-02-22,N
P-226,Product_226,Home,Furniture,Brand_80,34884.93,24896.99,2022-05-18,N
P-227,Product_227,Grocery,Beverages,Brand_53,23329.36,17789.86,2022-05-28,Y
P-228,Product_228,Electronics,Laptop,Brand_66,14521.39,9383.14,2023-07-11,N
P-229,Product_229,Home,Decor,Brand_72,40593.79,28632.5,2023-06-28,N
P-230,Product_230,Electronics,Accessories,Brand_76,11217.73,8790.46,2023-11-11,Y
P-231,Product_231,Electronics,Accessories,Brand_77,44858.54,34849.25,2024-11-28,Y
P-232,Product_232,Grocery,Food,Brand_80,28907.04,21996.88,2022-05-24,Y
P-233,Product_233,Electronics,Laptop,Brand_36,12659.4,6362.62,2024-12-25,Y
P-234,Product_234,Fashion,Women,Brand_13,29391.25,16330.61,2023-09-24,N
P-235,Product_235,Fashion,Men,Brand_27,31633.66,18762.81,2023-07-07,N
P-236,Product_236,Grocery,Beverages,Brand_39,15842.13,10925.18,2022-10-08,N
P-237,Product_237,Electronics,Mobile,Brand_97,34510.07,21935.92,2023-06-20,Y
P-238,Product_238,Grocery,Beverages,Brand_38,3611.35,2766.65,2023-06-12,Y
P-239,Product_239,Electronics,Accessories,Brand_98,42290.81,26237.45,2023-07-15,N
P-240,Product_240,Fashion,Kids,Brand_63,8982.03,5692.86,2024-12-13,Y
P-241,Product_241,Electronics,Mobile,Brand_52,14554.83,9052.97,2024-05-05,Y
P-242,Product_242,Electronics,Mobile,Brand_43,12413.23,6685.28,2023-09-25,N
P-243,Product_243,Fashion,Men,Brand_93,21642.44,12201.51,2022-01-24,Y
P-244,Product_244,Fashion,Women,Brand_12,33599.95,26706.17,2022-01-21,Y
P-245,Product_245,Fashion,Women,Brand_63,25365.62,19183.73,2024-12-14,N
P-246,Product_246,Fashion,Kids,Brand_70,40932.53,21414.1,2022-08-09,Y
P-247,Product_247,Fashion,Men,Brand_21,9636.83,7179.79,2024-12-27,Y
P-248,Product_248,Fashion,Kids,Brand_28,47720.96,31656.13,2023-01-28,N
P-249,Product_249,Fashion,Kids,Brand_94,1286.11,681.96,2022-10-09,N
P-250,Product_250,Grocery,Food,Brand_12,8797.59,4902.55,2022-01-13,Y
P-251,Product_251,Electronics,Laptop,Brand_28,34200.39,23018.04,2022-06-17,Y
P-252,Product_252,Home,Furniture,Brand_17,47186.7,33793.0,2022-12-26,N
P-253,Product_253,Fashion,Men,Brand_78,49475.07,26174.42,2023-05-31,N
P-254,Product_254,Home,Furniture,Brand_25,6109.19,4578.77,2024-06-11,N
P-255,Product_255,Home,Decor,Brand_79,42122.72,30510.36,2022-10-03,Y
P-256,Product_256,Electronics,Mobile,Brand_94,48928.92,35330.46,2023-06-18,N
P-257,Product_257,Fashion,Kids,Brand_11,7344.2,5236.56,2022-01-28,Y
P-258,Product_258,Grocery,Food,Brand_67,29303.46,20398.43,2023-04-15,N
P-259,Product_259,Fashion,Women,Brand_89,29900.86,23877.23,2022-09-16,N
P-260,Product_260,Home,Decor,Brand_7,24598.06,14550.28,2024-08-10,Y
P-261,Product_261,Grocery,Food,Brand_3,28146.8,16884.75,2023-07-27,Y
P-262,Product_262,Grocery,Food,Brand_91,37843.16,28268.21,2024-01-29,Y
P-263,Product_263,Electronics,Mobile,Brand_9,14424.73,8462.15,2022-02-14,Y
P-264,Product_264,Electronics,Laptop,Brand_28,16250.61,8151.82,2023-08-03,N
P-265,Product_265,Electronics,Mobile,Brand_77,31444.01,15797.6,2024-10-10,Y
P-266,Product_266,Grocery,Beverages,Brand_84,12571.85,7321.37,2022-07-22,N
P-267,Product_267,Electronics,Mobile,Brand_82,986.21,748.95,2023-07-19,N
P-268,Product_268,Grocery,Beverages,Brand_3,19677.29,10562.09,2022-10-11,Y
P-269,Product_269,Grocery,Food,Brand_70,5495.98,2919.83,2022-07-05,Y
P-270,Product_270,Home,Decor,Brand_27,7201.34,4054.99,2024-06-29,N
P-271,Product_271,Grocery,Food,Brand_74,4462.51,3419.55,2022-03-30,N
P-272,Product_272,Fashion,Women,Brand_63,31786.25,18010.4,2023-11-01,N
P-273,Product_273,Electronics,Mobile,Brand_74,43671.38,24145.17,2023-01-18,Y
P-274,Product_274,Electronics,Mobile,Brand_67,43419.07,22582.91,2022-12-29,Y
P-275,Product_275,Fashion,Kids,Brand_4,3803.76,2260.0,2022-01-09,Y
P-276,Product_276,Fashion,Women,Brand_97,34073.73,19373.59,2023-10-26,N
P-277,Product_277,Grocery,Food,Brand_31,47770.35,33198.69,2023-06-08,N
P-278,Product_278,Home,Furniture,Brand_38,31170.74,17902.16,2022-01-10,N
P-279,Product_279,Home,Furniture,Brand_23,47702.23,30394.19,2022-06-18,N
P-280,Product_280,Fashion,Kids,Brand_45,15998.1,10121.52,2024-04-14,N
P-281,Product_281,Fashion,Men,Brand_62,34188.33,17542.71,2023-10-11,N
P-282,Product_282,Electronics,Mobile,Brand_87,33007.21,22313.89,2024-05-22,N
P-283,Product_283,Electronics,Mobile,Brand_4,8959.47,6357.54,2022-11-21,Y
P-284,Product_284,Electronics,Accessories,Brand_6,39108.14,26157.9,2022-02-07,Y
P-285,Product_285,Grocery,Food,Brand_100,23010.95,13768.23,2022-12-16,Y
P-286,Product_286,Grocery,Food,Brand_43,46556.66,26218.31,2023-03-07,N
P-287,Product_287,Electronics,Accessories,Brand_13,7865.78,5533.06,2022-07-19,N
P-288,Product_288,Home,Decor,Brand_17,37240.22,22510.74,2024-01-28,N
P-289,Product_289,Electronics,Laptop,Brand_31,7542.7,5325.35,2022-03-08,N
P-290,Product_290,Home,Furniture,Brand_57,32279.54,25579.06,2022-08-04,Y
P-291,Product_291,Fashion,Men,Brand_8,42996.71,22845.31,2024-06-20,Y
P-292,Product_292,Fashion,Kids,Brand_13,38534.66,26070.76,2023-09-02,N
P-293,Product_293,Grocery,Food,Brand_6,37952.71,25836.69,2024-08-18,Y
P-294,Product_294,Fashion,Kids,Brand_99,42731.7,22092.49,2024-06-04,N
P-295,Product_295,Electronics,Mobile,Brand_85,14813.86,9093.43,2024-08-18,Y
P-296,Product_296,Home,Furniture,Brand_13,36709.1,19992.51,2022-02-20,N
P-297,Product_297,Home,Furniture,Brand_62,18986.6,12879.66,2023-07-08,N
P-298,Product_298,Home,Furniture,Brand_59,49853.82,31940.45,2022-08-19,N
P-299,Product_299,Home,Decor,Brand_74,16801.06,13259.73,2023-05-30,Y
P-300,Product_300,Fashion,Women,Brand_56,29791.18,19483.31,2022-12-10,Y
P-301,Product_301,Electronics,Accessories,Brand_98,35228.1,18682.28,2023-01-12,Y
P-302,Product_302,Electronics,Mobile,Brand_26,7091.42,5605.81,2022-09-24,Y
P-303,Product_303,Fashion,Men,Brand_53,21162.75,15977.25,2023-04-05,N
P-304,Product_304,Home,Furniture,Brand_88,46071.39,32806.71,2024-03-19,N
P-305,Product_305,Fashion,Men,Brand_63,35311.99,27661.52,2022-05-02,N
P-306,Product_306,Fashion,Women,Brand_76,9989.4,6018.29,2023-09-20,N
P-307,Product_307,Grocery,Food,Brand_80,38122.48,25794.09,2022-06-15,N
P-308,Product_308,Home,Decor,Brand_41,23569.87,17508.94,2022-07-07,Y
P-309,Product_309,Home,Decor,Brand_57,32828.47,16864.77,2023-03-18,N
P-310,Product_310,Grocery,Beverages,Brand_40,26735.72,16951.4,2022-05-06,N
P-311,Product_311,Home,Decor,Brand_69,43707.68,29133.97,2022-05-18,N
P-312,Product_312,Electronics,Laptop,Brand_31,47018.22,36294.17,2023-11-05,N
P-313,Product_313,Home,Decor,Brand_32,24865.45,14437.71,2023-03-13,N
P-314,Product_314,Grocery,Beverages,Brand_45,23458.78,13139.8,2023-04-19,Y
P-315,Product_315,Grocery,Beverages,Brand_24,20884.99,15337.88,2022-05-04,Y
P-316,Product_316,Fashion,Women,Brand_63,32448.32,20938.45,2022-10-29,Y
P-317,Product_317,Electronics,Accessories,Brand_69,25819.43,14231.33,2023-09-01,N
P-318,Product_318,Fashion,Men,Brand_99,31406.16,18353.39,2024-03-06,Y
P-319,Product_319,Home,Furniture,Brand_99,34296.79,21493.14,2023-06-16,N
P-320,Product_320,Fashion,Women,Brand_74,13319.62,9237.82,2022-12-14,Y
P-321,Product_321,Fashion,Men,Brand_91,29853.15,16444.36,2022-05-18,N
P-322,Product_322,Electronics,Mobile,Brand_25,24791.93,12912.2,2023-12-24,Y
